Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic_Regression,0.9453125,0.9703389830508475,0.6666666666666666,0.6,0.631578947368421,0.6031064245641228
Decision_Tree,0.9375,0.8288135593220338,0.5833333333333334,0.7,0.6363636363636364,0.6054818092338301
KNN,0.9375,0.8288135593220338,1.0,0.2,0.3333333333333333,0.4327835340000672
naive_bayes_gaussian,0.390625,0.5322033898305085,0.08536585365853659,0.7,0.15217391304347827,0.03602356971976167
random_forest_classifier,0.953125,0.9805084745762712,0.8333333333333334,0.5,0.625,0.6240673322606797
xgboost_classifier,0.953125,0.9864406779661017,0.8333333333333334,0.5,0.625,0.6240673322606797
